adm1_code,adm0_a3,population,density,min,max,mean,median,mode,stddev
UGA-5592,UGA,494757,0,1.7389113567769527,104.13477114973396,4.644691878974128,2.96325824030977,3.4280987767642648,7.156140942302749
THA-400,THA,917935,0,0.02140322726377299,59.33478800455729,0.860628750927561,0.02140322726377299,0.5057749839676967,1.7604270802613986
RUS-2377,RUS,2284120,0,0.0039128139098804715,55.78471692403158,0.23765391552158277,0.0039128139098804715,0.07002711453396429,1.6452800181720326
CAF-810,CAF,524919,0,0.0019892872645621293,24.947111129760742,0.08340412164008756,0.0019892872645621293,0.048540477972538916,0.37734564709501855
TON-4949,TON,4194,0,0.06869994848966599,14.36406135559082,0.4386750597213007,0.06869994848966599,0.12123363728454367,0.9956757268561338
IRN-3230,IRN,1315115,0,0.015359868076074206,28.425543785095215,0.43710813830661904,0.015359868076074206,0.12581250601862357,1.679654806274567
LAO-3294,LAO,167301,0,1.929833961185068E-4,688.5043334960938,0.15086678524073383,1.929833961185068E-4,0.07457121301773117,1.752433302192702
EGY-1543,EGY,5162240,2,0.0,783.0687255859375,17.317893615393803,0.0,0.7664467578276493,65.3611965303005
VIR-4869,VIR,0,59430,null,null,null,null,null,null
FIN-3184,FIN,205760,0,0.0026964180481930575,7.943321069081624,0.16589716419749984,0.0026964180481930575,0.02803498335541723,0.6579099976713786
